Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,S,S%,TOI,ATOI
1,Justin Abdelkader,21,DET,LW,2,0,0,0,0,0,0,0,0,0,2,0.0,19,9:18
2,Craig Adams,31,TOT,RW,45,2,5,7,-3,22,1,1,0,0,47,4.3,391,8:41
3,Maxim Afinogenov,29,BUF,RW,48,6,14,20,-7,20,6,0,0,0,93,6.5,605,12:36
4,Andrew Alberts,27,PHI,D,79,1,12,13,6,61,1,0,0,0,46,2.2,1248,15:48
5,Daniel Alfredsson,36,OTT,RW,79,24,50,74,7,24,15,8,1,3,204,11.8,1649,20:53
6,Bryan Allen,28,FLA,D,2,0,1,1,2,0,0,0,0,0,5,0.0,54,27:11
7,Karl Alzner,20,WSH,D,30,1,4,5,-1,2,1,0,0,0,31,3.2,583,19:25
8,Artem Anisimov,20,NYR,C,1,0,0,0,0,0,0,0,0,0,1,0.0,9,9:27
9,Nik Antropov,28,TOT,C,81,28,31,59,-14,30,20,8,0,4,224,12.5,1392,17:11
10,Colby Armstrong,26,ATL,RW,82,22,18,40,5,75,19,3,0,2,141,15.6,1243,15:09
11,Derek Armstrong,35,LAK,C,56,5,4,9,-11,63,4,1,0,1,42,11.9,475,8:29
12,Riley Armstrong,24,SJS,RW,2,0,0,0,-1,2,0,0,0,0,1,0.0,15,7:26
13,Tyler Arnason,29,COL,C,71,5,17,22,-16,14,3,2,0,1,108,4.6,945,13:19
14,Jason Arnott,34,NSH,C,65,33,24,57,2,49,24,9,0,5,196,16.8,1229,18:55
15,Evgeny Artyukhin,25,TBL,RW,73,6,10,16,1,151,5,1,0,0,100,6.0,779,10:40
16,Arron Asham,30,PHI,RW,78,8,12,20,0,155,8,0,0,1,74,10.8,682,8:45
17,Adrian Aucoin,35,CGY,D,81,10,24,34,-8,46,7,3,0,3,126,7.9,1806,22:18
18,Keith Aucoin,30,WSH,C,12,2,4,6,5,4,1,1,0,0,15,13.3,124,10:19
19,Sean Avery,28,TOT,C,41,8,14,22,6,111,6,2,0,0,99,8.1,646,15:45
20,P.J. Axelsson,33,BOS,LW,75,6,24,30,-1,16,4,2,0,0,87,6.9,1217,16:14
21,Anton Babchuk,24,CAR,D,72,16,19,35,13,16,7,9,0,4,127,12.6,1301,18:04
22,David Backes,24,STL,C,82,31,23,54,-3,165,23,6,2,1,208,14.9,1451,17:41
23,Mikael Backlund,19,CGY,C,1,0,0,0,0,0,0,0,0,0,1,0.0,11,10:44
